website,timestamp,industry,company_name,about_us,headquarters,employee_range,employee_profile,year-founded,locations,specialties,what_they_do,capitaliq_employee
https://www.01com.com/,2022-02-01 11:01:35.964066,Computer Software,01 Communique Laboratory Inc.,"01 Communique is an innovation leader in the zero-trust Remote Access Software market. Our software, I’m InTouch, provides users with the ability to establish Remote Desktop Connection from anywhere, anytime using virtually any device connected to the Internet. Whether you are an individual, small business or work-groups within a larger corporation I’m InTouch has you covered. We continue to innovate in the cyber security field and have now launched the world’s first commercialized, quantum-safe encryption, IronCAP. Follow IronCAP for updates.",,Nov-50,51,1992,,"Remote access software
online meeting software
pc remote control
remote support
and web conferencing software",,11
https://www.10xgenomics.com/,2022-02-01 11:02:06.390629,Biotechnology,"10x Genomics, Inc.","Accelerating biological understanding and discovery is more than a mission for 10x Genomics. It’s a commitment. Fueled by equal parts scientific vision and determined passion, we are enabling fundamental research across the life sciences by delivering rapid innovation that allows our customers to resolve complex biology—across the fields of oncology, immunology, neuroscience, and more.As we deliver powerful new methods for discovery, we create opportunities for scientists to address and reveal the true complexities of biology and disease. Already, our products have been adopted by researchers around the world, including 97 of the top 100 global research institutions and 19 of the top 20 global pharmaceutical companies, and have been cited in over 1,200 research papers on discoveries across the life sciences.","Pleasanton, California","1,001-5,000",1694,2012,,,"{'Research': '383', 'Engineering': '199', 'Sales': '179', 'Education': '138', 'Operations': '130', 'Information Technology': '108', 'Business Development': '75', 'Human Resources': '72', 'Legal': '66', 'Marketing': '62', 'Purchasing': '57', 'Support': '46', 'Product Management': '41', 'Media and Communication': '40', 'Administrative': '40'}",1148
https://1mage.com/,2022-02-01 11:02:39.488454,Computer Software,"1mage Software, Inc.","1mage Software Inc (“one image”) has designed secure and organized paperless solutions that enables you to quickly and easily access a plethora of different types of information from your desktop. By taking companies paperless we strive to ensure every customers' needs are met; whether it's accessing documents quickly for customer service agents, creating efficiencies within the office to even shortening your cash cycles.","Centennial, CO",Nov-50,9,1980,,"Document Imaging
Paperless Office
Technical Support
and Customer Service","{'Sales': '3', 'Business Development': '3', 'Accounting': '1', 'Information Technology': '1', 'Consulting': '1'}",13
https://1spatial.com/,2022-02-01 11:03:04.018106,Information Technology &amp; Services,1Spatial Plc,"We are global leaders in managing geospatial data. We work with our customers to deliver real value by making data current, automated, complete and consistent.We build long term partnerships with our customers and deliver real value to them through automated, rules-based solutions that are grounded in a deep understanding of their needs and challenges.Creators, owners and users of some of the world’s largest geospatial databases use our solutions and expert services to help manage their data throughout its lifecycle.Our unique, rules-based approach delivers enterprise-scale, cross-platform, automation to all stages of the data lifecycle. It builds confidence in the data while reducing the time and cost of management.Our global clients include utility and telecommunications businesses, national mapping agencies, government departments, emergency services, defence, census bureaus and transportation organisations.A leader in our field we have over forty five years’ experience, a global footprint and a record of continual innovation and development.We partner with some of the leading technology vendors including, Esri, Oracle, and SAP.Today, with an ever increasing reliance on geospatial and location critical data, demand for our expertise has never been greater.Our goal is simply to make your data smarter.",,201-500,186,1969,6,"Location-based information management
data quality
automation of location-based information
transformation and validation
consultancy
spatial big data
data management
and geospatial data",,286
https://www.23andme.com/,2022-02-01 11:03:32.107857,Biotechnology,23andMe Holding Co.,"23andMe, headquartered in Sunnyvale, CA, is a leading consumer genetics and research company. Founded in 2006, the company’s mission is to help people access, understand, and benefit from the human genome. 23andMe has pioneered direct access to genetic information as the only company with multiple FDA authorizations for genetic health risk reports. The company has created the world’s largest crowdsourced platform for genetic research, with 80 percent of its customers electing to participate. The 23andMe research platform has generated more than 180 publications on the genetic underpinnings of a wide range of diseases, conditions, and traits. The platform also powers the 23andMe Therapeutics group, currently pursuing drug discovery programs rooted in human genetics across a spectrum of disease areas, including oncology, respiratory, and cardiovascular diseases, in addition to other therapeutic areas. 23andMe was named by Glassdoor as one of The Best Places to Work. CEO, Anne Wojcicki was also named one of Glassdoor’s top CEOs in 2019 and one of Comparably’s ""Best CEOs for Women"" in 2021. More information is available at www.23andMe.com.","Sunnyvale, California","501-1,000",726,2006,,"genetic research
consumer genetics
and direct-to-consumer genetic testing",,500
https://24sevenoffice.com/se/,2022-02-01 11:04:00.059120,Information Technology &amp; Services,24SevenOffice Group AB,"24SevenOffice tillhandahåller allt i ett komplett ERP - och redovisningssystem i molnet för att hjälpa ditt företag. Med 24SevenOffice får ditt företag en komplett integrerad affärssystem i molnet med allt från Bokföring, CRM, Projekt & Timmar till Rapportering.Systemet är 100% molnbaserat där man kan jobba effektivt and vara uppdaterad från både laptop, tablet och mobilt.","Stockholm, Stockholm County",51-200,8,1997,,"IT
Molnlösningar
Affärssystem
Automatisering
Digitalisering
ERP system
Integrationer
Artificial intelligence
and Teknologi",,178
https://www.3i-infotech.com/,2022-02-01 11:20:53.808135,Information Technology &amp; Services,3i Infotech Limited,"3i Infotech is a global IT company, headquartered in Mumbai, India. It propels the wave of digital transformation initiatives, with deep domain expertise across BFSI, Healthcare, Manufacturing, Retail and Government sectors.3i Infotech has over 4000 employees in 30 offices across 15 countries and over 1000+ clients in more than 50 countries across 4 continents. With a wide range of IT services, 3i Infotech has successfully transformed business operations of customers globally. The Company has a very strong foothold and client base in geographies like North America, India, Asia Pacific, Middle East and Africa, Kingdom of Saudi Arabia and South Asia.Its digital roadmap is centred on combining its offerings with emerging technologies, like AI, Blockchain, RPA and Low-code to help its clients add agility and innovation in their digital transformation initiatives. Its services perfectly complement business specific product solutions, catering to banking, financial services and insurance industries.The Company’s quality certifications include ISO 9001:2015 for Business Process Outsourcing, Application Development & Maintenance Services, e-Governance, Business Intelligence & Infrastructure Management Services, ISO/IEC 27001:2013 for Data Centre Operations for Mumbai, Chennai, Bengaluru and Hyderabad locations; and ISO 20000:2018 for our IT Services management process.The pursuit of the highest standards to deliver superior experience to all its stakeholders, defines the ethos of our Services brand – Altiray™.3i Infotech has invested more in its processes to bring meaningful efficiencies within, so as to provide clients with a consistent and clear environment when working with the Company. Through this process, what remains untouched is its commitment towards its clients and partners. And now, together with its clients and partners, it hope to evolve further.","Navi Mumbai, Maharashtra","1,001-5,000",8047,1993,,"Cloud Transformation
Infrastructure Transformation and Management Services
Data and Analytics Services
Quality Assurance Services
Blockchain Services
BPO & Professional Services
and Business & Technology Consulting",,4000
https://4dmedical.com/,2022-02-01 11:21:26.416143,Medical Device,4DMedical Limited,"Despite our rapidly increasing understanding of lung disease, our ability for effective treatments is critically limited by the lack of sophistication previously applied to measuring lung function in a regional manner.Nearly all lung pathologies are associated at the onset of disease with subtle, significant and regional changes in airflow due to changes in tissue compliance and/or resistance. However, the current gold standard diagnostics can only measure pulmonary capacity as an average over the entire lung.  As a result, a diagnosis can often come too late because for a loss of lung function to even be measurable, the disease must be well-advanced.Now, for the first time in medical history, the capacity to simply, safely and effectively view and measure regional lung function is here.We are 4DMedical - the medical technology company responsible for the XV Lung Ventilation Analysis Software - the breakthrough lung imaging technology that quantitatively measures the patterns of regional lung function in a four-dimensional and highly visual manner.","Carlton, Victoria",51-200,112,2012,2,4D Lung Imaging and Regional Quantitative Analysis,,95
https://www.4ig.hu/,2022-02-01 11:22:02.522473,Information Technology &amp; Services,4iG Nyrt.,"A 4iG 25 éves múlttal rendelkező informatikai cégcsoport, a magyar ICT szektor meghatározó szereplője. Szolgáltatásainkkal lefedjük a teljes IT életciklust az igény megfogalmazásától a komplex rendszerek kialakításán át a megbízható működés fenntartásáig.Tőzsdei vállalatként folyamataink és tevékenységünk transzparens, pénzügyi és szakmai eredményeink nyilvánosak. Működésünk stabil, nagyvállalati alapokra épül, ugyanakkor tevékenységünkben jelen van az agilis, innovatív szemlélet. A 4iG a piaci trendekhez alkalmazkodva alakítja portfolióját, bővíti szakemberállományát: a hagyományos és innovatív elemeket kombinálva halad a hazai ICT piac és digitális üzlet jövőjét alakítva.  Szakértelmével a 4iG jelen van az üzleti élet számos területén, a hazai gazdaság jelentős részét lefedő iparágakban. Platform- és gyártófüggetlen, teljes körű informatikai termék- és szolgáltatásportfóliónk egyaránt elérhető az üzleti élet legnagyobb és feltörekvő szereplői és a közszféra számára.25 éves ICT iparági tapasztalatÁrbevétel/Sales revenu: 57,7 Mrd (2020)munkavállalók száma: 1000+With its more than 25 years of history, 4iG is an IT company group that is a key actor in the Hungarian ICT sector. Our services cover the entire period of the IT lifespan: from formulating the need through designing comprehensive systems to the maintenance of reliable operation.As a company listed on the stock exchange, our processes and activities are transparent, and our financial and professional achievements are public. Our operation is built on a stable corporate basis; however, our activities also incorporate the agile and innovative approach. 4iG shapes its portfolio and expands its team of experts by adapting to market trends: it combines traditional and innovative elements, shaping the domestic ICT market and the future of digital business.  4iG is present in numerous fields of business life with its expertise, covering a significant part of the domestic economy.",,"501-1,000",440,1995,,"projektmenedzsment
szoftverfejlesztés
rendszerintegráció
üzemeltetés
outsourcing
IT szolgáltatások és megoldások
felhős alkalmazások
vállalatirányítási renszerek
brand értékesítés
and szerviz szolgáltatások",,1077
https://4sight.cloud/about,2022-02-01 11:22:36.271017,Information Technology &amp; Services,4Sight Holdings Limited,"4Sight Holdings Limited is a multi-national diversified investment holding company listed on the JSE-ALTX Stock Exchange. We leverages our Subsidiaries’ extensive product and services portfolio of Industry 4.0 technology solutions, to create impact that empowers customers to make better and more informed decisions in the modern digital economy.Our business model is to enable our Subsidiaries to take advantage of various products and solutions within our Group of companies, in order to deliver digital transformation solutions to their customers. This is supported by investing worldwide in companies that focus on:1) Software-as-a-Service (SaaS) business models;2) Products and services that are mission critical to customers;3) Product and services that customers cannot do without (in a changing digital world); 4) and focus on the principles driving the fourth industrial revolution.Our Subsidiaries focus on a cross section of established, new and emerging technologies. This includes (but is not limited to) Autonomous and Artificial Intelligence (AI) solutions with Machine Learning, Big Data, Cloud and Business Intelligence solutions, Augmented and Virtual Reality solutions. These technologies manifest in the various solutions we deliver to customers in the telecommunications, mining, manufacturing, energy, chemicals, private and public sector.4Sight Holdings Limited is positioned as the “Digitalisation partner of choice” for our Subsidiaries customers to embark on and take advantage of the Fourth Industrial Revolution journey.View our current vacancies - https://acctech.biz/AccTech/about-us/careers/","Ebene, Ebene",201-500,58,,,"Telecommunications
Media
Property
Mining
Manufacturing
Data Analytics
Optimization Technologies
Visualisation Strategies
Artificial Intelligence
and Blockchain",,340
