,company,website,locations,sales_data,restricted,authwall,data_error1,data_error2,scraper_error,select_section_error,linkedin_url
0,01 Communique Laboratory Inc.,https://www.01com.com/,"{'CA': [nan, 'Toronto']}","{'country': ['Canada', 'Toronto, Canada Area', 'China', 'Wuhan, Hubei, China', 'Changchun, Jilin, China', 'Indonesia', 'East Java Province, Indonesia'], 'sales_count': ['3', '3', '2', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/01-communique/about/
1,"10x Genomics, Inc.",https://www.10xgenomics.com/,{'US': ['Pleasanton']},"{'country': ['United States', 'San Francisco Bay Area', 'Greater San Diego Area', 'United Kingdom', 'Germany', 'France', 'Greater Boston Area', 'Greater New York City Area', 'Canada', 'China', 'Greater Seattle Area', 'Washington D.C. Metro Area', 'India', 'Netherlands', 'Singapore'], 'sales_count': ['108', '25', '13', '10', '9', '8', '8', '8', '6', '6', '5', '5', '4', '4', '4']}",False,False,,,,,https://www.linkedin.com/company/10xgenomics/about/
2,"1mage Software, Inc.",https://1mage.com/,"{'US': ['Centennial', 'Centennial']}","{'country': ['United States', 'Greater Denver Area', 'Grand Junction, Colorado Area'], 'sales_count': ['3', '2', '1']}",False,False,,,,,https://www.linkedin.com/company/1mage-software/about/
3,1Spatial Plc,https://1spatial.com/,"{'AU': ['Cambridge', 'Cronulla'], 'US': ['Vienna'], 'FR': ['Arcueil '], 'BE': ['Liège'], 'GB': ['Leinster']}","{'country': ['United Kingdom', 'Australia', 'United States', 'Melbourne, Australia', 'France', 'Cambridge, United Kingdom', 'Sydney, Australia', 'Paris Area, France', 'Saint-Nazaire Area, France', 'Toulouse Area, France', 'London, United Kingdom', 'Kingston upon Thames, United Kingdom', 'Shrewsbury, United Kingdom', 'Greater Denver Area', 'Houston, Texas Area'], 'sales_count': ['7', '4', '4', '3', '3', '3', '1', '1', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/1spatial/about/
4,23andMe Holding Co.,https://www.23andme.com/,"{'US': ['Sunnyvale', 'South San Francisco']}","{'country': ['United States', 'San Francisco Bay Area', 'Indonesia', 'Bandung Area, West Java, Indonesia', 'India', 'Philippines', 'Turkey', 'Istanbul, Turkey', 'Madison, Wisconsin Area', 'Greater New York City Area', 'Portland, Oregon Area', 'Washington D.C. Metro Area'], 'sales_count': ['32', '28', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/23andme/about/
5,24SevenOffice Group AB,https://24sevenoffice.com/se/,"{'NO': ['Oslo', 'Skien']}","{'country': ['Norway', 'Oslo Area, Norway', 'Sweden', 'Stockholm County, Sweden', 'Stockholm, Sweden', 'Stavanger Area, Norway'], 'sales_count': ['15', '13', '4', '2', '2', '1']}",False,False,,,,,https://www.linkedin.com/company/24sevenoffice/about/
6,3i Infotech Limited,https://www.3i-infotech.com/,{'IN': ['Navi Mumbai']},"{'country': ['India', 'Mumbai Area, India', 'United Arab Emirates', 'Chennai Area, India', 'New Delhi Area, India', 'United States', 'Bengaluru Area, India', 'Hyderabad Area, India', 'United Kingdom', 'Kolkata Area, India', 'Noida Area, India', 'Greater New York City Area', 'Malaysia', 'Saudi Arabia', 'Singapore'], 'sales_count': ['171', '51', '20', '19', '17', '17', '14', '9', '6', '6', '6', '6', '4', '4', '3']}",False,False,,,,,https://www.linkedin.com/company/3i-infotech/about/
7,4DMedical Limited,https://4dmedical.com/,"{'AU': ['Carlton'], 'US': ['Woodland Hills']}","{'country': ['United States', 'Australia', 'Melbourne, Australia', 'Sydney, Australia', 'Greater Los Angeles Area', 'Cleveland/Akron, Ohio Area', 'Greater Grand Rapids, Michigan Area', 'Kansas City, Missouri Area', 'Raleigh-Durham, North Carolina Area', 'Greater New York City Area'], 'sales_count': ['9', '4', '2', '2', '2', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/4dmedical/about/
8,4iG Nyrt.,https://www.4ig.hu/,{'HU': ['Budapest']},"{'country': ['Hungary', 'Hungary area', 'Other'], 'sales_count': ['44', '39', '1']}",False,False,,,,,https://www.linkedin.com/company/4ig/about/
9,4Sight Holdings Limited,https://4sight.cloud/about,"{'MU': ['Ebene'], 'ZA': ['Centurion', 'Johannesburg']}","{'country': ['South Africa', 'Johannesburg Area, South Africa', 'China', 'Cape Town Area, South Africa'], 'sales_count': ['10', '8', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/4sightholdings/about/
